# "Timestep" "DislocationAnalysis.counts.BCC" "DislocationAnalysis.counts.CubicDiamond" "DislocationAnalysis.counts.FCC" "DislocationAnalysis.counts.HCP" "DislocationAnalysis.counts.HexagonalDiamond" "DislocationAnalysis.counts.OTHER" "DislocationAnalysis.length.1/2<111>" "DislocationAnalysis.length.<100>" "DislocationAnalysis.length.<110>" "DislocationAnalysis.length.other" "DislocationAnalysis.total_line_length" "DislocationAnalysis.cell_volume"
160000 430693 0 0 0 0 79264 6688.040425643596 3858.0687640664696 1887.193946841152 5590.719858968374 18024.022995519597 9079741.387155408 
170000 430802 0 0 0 0 79155 5201.9938215561315 2867.0620860553745 1304.3413790491793 2899.078191612371 12272.475478273063 9158485.996575542 
180000 430800 0 0 0 0 79157 6280.188857140735 3785.063344572232 1785.604288063326 5318.638653616184 17169.495143392505 9239842.558680084 
190000 430871 0 0 0 0 79086 6932.4358083221805 3876.8313330594897 1830.6002642114026 5269.228380028262 17909.095785621335 9314999.841517372 
200000 430804 0 0 0 0 79153 5002.604975586952 2765.2296574830743 1162.9022615628369 2556.8238488476486 11487.56074348053 9394038.670278694 
210000 430839 0 0 0 0 79118 4843.034235714501 2646.4082905912587 1214.7256932115652 2375.0123339576207 11079.180553474933 9472953.915957425 
220000 430780 0 0 0 0 79177 6651.31189928367 3971.4082386482896 1823.7176066968086 5145.354168902611 17591.791913531364 9550053.874615457 
230000 430900 0 0 0 0 79057 6864.268982475831 4115.647557247484 1718.6367749104702 5512.692451109185 18211.24576574295 9629608.604496226 
240000 430815 0 0 0 0 79142 6763.049427222763 3577.1013405553526 1868.8138582840056 4750.999247705156 16959.96387376728 9706799.31768149 
250000 430868 0 0 0 0 79089 4903.661632038434 2967.936778206071 1074.371803758319 2590.3377774475066 11536.307991450329 9784657.754147697 
260000 430846 0 0 0 0 79111 6032.425892653409 3459.2178610050028 1598.457382520308 4475.980561941766 15566.081698120533 9864997.506210225 
270000 430795 0 0 0 0 79162 5111.928141260774 3081.648453460325 1257.6851813112146 2227.929511460766 11679.19128749307 9942416.42592146 
280000 430794 0 0 0 0 79163 4810.436576731205 2713.4668823282323 1030.6685791449559 1945.457318399835 10500.029356604233 10020428.054442832 
290000 430969 0 0 0 0 78988 6644.460825691583 3714.2025257358864 1936.122655506777 4906.222189875753 17201.008196809995 10101468.376963394 
300000 430839 0 0 0 0 79118 6914.12367505456 3852.4317099612704 1925.6289462780803 4884.275264551251 17576.459595845154 10177313.381929297 
310000 430842 0 0 0 0 79115 6680.7422084026 3635.5442968555294 1710.4055898263503 4935.448642735014 16962.140737819514 10257178.238423944 
320000 430823 0 0 0 0 79134 7003.830139998978 3978.5888264444307 1831.5486955503302 5568.674838863013 18382.64250085677 10336107.278008537 
330000 430773 0 0 0 0 79184 4723.87820143442 2618.833681032385 991.0446679116423 2239.911732504697 10573.668282883176 10413898.785378166 
340000 430781 0 0 0 0 79176 4934.951876139143 2822.9698391958104 1104.9799690264974 1952.8421438352418 10815.743828196672 10493667.76739018 
350000 430752 0 0 0 0 79205 5193.1197116233925 2828.6933378734393 1072.3941274008328 2465.640733939401 11559.847910837067 10572036.8436727 
360000 430865 0 0 0 0 79092 5886.998335464269 3003.4549853933913 1236.2336006450196 3055.4611735308913 13182.148095033564 10648601.596195927 
370000 430868 0 0 0 0 79089 5078.453478078187 2784.0769720183334 1167.9068886478228 2385.853668555498 11416.291007299846 10729702.165989414 
380000 430883 0 0 0 0 79074 6374.803102915515 3878.9133730016733 1947.5696449123052 5454.108014089216 17655.39413491867 10806810.819150794 
390000 430901 0 0 0 0 79056 5102.276055774841 2701.0555379769276 1023.4700793817076 2420.1642294572066 11246.965902590686 10885159.44880299 
400000 430854 0 0 0 0 79103 5086.319190597714 2876.0286982284542 1340.248148984388 3195.279543042292 12497.87558085284 10965310.891188484 
410000 430950 0 0 0 0 79007 6848.198853818856 3877.1563434110913 1759.947550149107 5062.708502909471 17548.01125028849 11042254.544967921 
420000 430913 0 0 0 0 79044 4738.185670779746 2976.6146005575592 1088.2422576204071 1986.5102065247306 10789.552735482452 11120543.831865529 
